realprice,neighbourhood,actualyearbuilt,zoning,lotsize,garagebinary,distance,structuresize,distancelrtopen,distancelrtvalleylinese,distancelrtvalleylinewest,apartment,theftcrime,personcrime
293771.63,CARLTON,2008,RF1,451.487,1,9.54913168874609,165.5,7.065231255454685,9.65924302723866,8.504188216412802,0,0.0050307433,0.0016769145
260899.66,CARLTON,2002,RSL,441.75101,1,9.086320326694038,183.0,6.626588258270768,9.156481232851636,7.781339489217684,0,0.0050307433,0.0016769145
306228.38,CARLTON,2015,RSL,595.51703,1,10.22358891148136,203.0,7.742786611071915,10.32261550930506,9.073389190930822,0,0.0050307433,0.0016769145
259169.55,CARLTON,2012,RPL,331.20999,1,10.05205938953369,172.31,7.567173736153379,10.16945683700191,9.039124748545584,0,0.0050307433,0.0016769145
356055.38,CARLTON,2005,RF1,1066.501,1,9.241692617856271,274.11,6.759107123327151,9.347008222152102,8.175979581074776,0,0.0050307433,0.0016769145
307958.47,CARLTON,2015,RSL,501.694,1,10.16176895765416,203.0,7.68115489811509,10.26039789208212,9.011019385442417,0,0.0050307433,0.0016769145
292733.56,CARLTON,2012,RSL,374.31699,1,10.04243322601997,206.4,7.55850199008784,10.15216988097661,8.974899413353508,0,0.0050307433,0.0016769145
311418.69,CARLTON,2005,RF1,444.65302,1,9.35243347484096,220.0,6.869081275712265,9.46036229909674,8.30042524861427,0,0.0050307433,0.0016769145
373010.38,CARLTON,2003,RF1,567.97601,1,9.27982519073174,313.0,6.799703105619738,9.378433674788075,8.164650890250446,0,0.0050307433,0.0016769145
377854.66,CARLTON,2002,RF1,1101.032,1,9.123340949248394,244.2,6.641584210992589,9.226310280947224,8.046341001107054,0,0.0050307433,0.0016769145
292733.56,CARLTON,2014,RPL,347.71701,1,9.960459451180832,201.41,7.476139453632966,10.07246999359747,8.91235478872605,0,0.0050307433,0.0016769145
272318.34,CARLTON,2016,RPL,331.26099,1,10.05661317475148,183.31,7.57166649714212,10.17597946294405,9.05771320146091,0,0.0050307433,0.0016769145
372318.34,CARLTON,2013,RSL,371.51599,1,9.694451557110977,285.4,7.210088891031639,9.80700993607246,8.660963277312117,0,0.0050307433,0.0016769145
139100.34,CARLTON,2009,RA7,100.6642,0,9.169365867258168,87.4,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
337370.25,CARLTON,2015,RSL,543.90601,1,10.15009412367192,243.2,7.669092051400761,10.24971656829906,9.00676989524966,0,0.0050307433,0.0016769145
270934.25,CARLTON,2015,RPL,331.155,1,10.08276703320113,183.11,7.597816972179637,10.20260762607029,9.08629036108674,0,0.0050307433,0.0016769145
126297.58,CARLTON,2009,RA7,92.717003,0,9.169365867258168,80.6,6.710540917325782,9.238429470612251,7.853165101777449,1,0.0050307433,0.0016769145
166435.98,CARLTON,2016,RA7,80.621002,0,9.283340463202356,85.0,6.814096403381135,9.363968113578196,8.041893964723497,1,0.0050307433,0.0016769145
343252.59,CARLTON,2013,RSL,366.37,1,9.690003362186276,270.7,7.20592115711009,9.800897814892595,8.64475757887639,0,0.0050307433,0.0016769145
396539.78,CARTER CREST,1994,RF1,582.94501,1,10.77593680108947,202.01,4.075866194301551,9.238997035037787,6.578699411285062,0,0.0081168832,0.0
223875.44,CARTER CREST,1998,DC2,473.64001,1,11.16492370831626,180.4,4.560875585608751,9.762794644652931,6.627963739613906,1,0.0081168832,0.0
362629.75,CARTER CREST,1994,RF1,540.453,1,10.9707855252397,178.75,4.278535082219408,9.469487998215984,6.632463123634012,0,0.0081168832,0.0
390657.44,CARTER CREST,1996,RF1,661.15198,1,10.7282686200686,263.81,3.925115188122978,9.09850767167752,6.641085741249294,0,0.0081168832,0.0
358823.53,CARTER CREST,1994,RF1,522.36102,1,10.54087353095506,257.66,4.420498856642767,9.439473004079696,6.094414301552889,0,0.0081168832,0.0
333910.03,CARTER CREST,1997,RF1,500.83801,1,10.9587973439505,210.4,4.51163873186307,9.657992246494468,6.451241358164818,0,0.0081168832,0.0
574740.5,CARTER CREST,1993,RF1,659.67999,1,10.57699221017083,388.48,3.819052388871063,8.958851630580302,6.570294388784694,0,0.0081168832,0.0
404498.28,CARTER CREST,1993,RF1,738.78003,1,10.50745593075054,275.02,3.690537500433285,8.827942740691864,6.598580212355846,0,0.0081168832,0.0
426989.63,CARTER CREST,1997,RF1,581.18402,1,10.78238619197831,226.9,4.214154922678618,9.35518034686184,6.484340937388073,0,0.0081168832,0.0
353979.25,CARTER CREST,1996,RF1,512.37701,1,10.77579427173661,226.51,4.425817817965292,9.52686686895766,6.323862307879598,0,0.0081168832,0.0
513494.81,CARTER CREST,1992,RF1,907.10901,1,10.71894884723361,393.62,3.667523009233261,8.88182109711113,6.821178015874975,0,0.0081168832,0.0
272318.34,CARTER CREST,1998,DC2,652.60999,1,11.07109194657716,177.2,4.41974221626579,9.617480306761465,6.636922140860408,1,0.0081168832,0.0
376470.59,CARTER CREST,1993,RF1,682.21899,1,10.58465035181937,228.43,4.16555617266402,9.24670275726726,6.323272650747112,0,0.0081168832,0.0
73356.398,CASSELMAN,2004,RA7,62.657001,0,8.626526788813315,50.0,2.628468549549541,8.503273762795482,9.20355565547474,1,0.02854744,0.012594459
131487.89,CASSELMAN,1977,RA7,220.13901,0,8.210971418503014,111.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
111418.69,CASSELMAN,1976,RF5,238.57899,0,8.757238839199887,98.0,2.872330485759768,8.6571541532597,9.29450011744143,0,0.02854744,0.012594459
95847.75,CASSELMAN,1975,RA7,155.19501,0,8.350114669219781,102.0,2.354980606876003,8.226303256959389,8.92974772635969,1,0.02854744,0.012594459
136678.2,CASSELMAN,2014,CS3,211.30701,0,8.634174975541567,110.7,2.700716037643455,8.524653642501677,9.1881915727365,1,0.02854744,0.012594459
144290.66,CASSELMAN,2014,CS3,213.399,1,8.634174975541567,154.0,2.700716037643455,8.524653642501677,9.1881915727365,1,0.02854744,0.012594459
94463.664,CASSELMAN,2004,RA7,83.163002,0,8.626526788813315,67.0,2.628468549549541,8.503273762795482,9.20355565547474,1,0.02854744,0.012594459
126989.62,CASSELMAN,1977,RA7,220.13901,0,8.210971418503014,111.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
93771.625,CASSELMAN,1975,RA7,164.496,0,8.350114669219781,108.0,2.354980606876003,8.226303256959389,8.92974772635969,1,0.02854744,0.012594459
133564.02,CASSELMAN,1981,RF5,242.662,0,8.345136795497288,111.0,2.321647807178623,8.214201680426054,8.936527988669617,1,0.02854744,0.012594459
130795.85,CASSELMAN,1975,RF5,248.037,0,8.628129565569886,103.0,2.72807180365219,8.5245892493246,9.172068070442949,0,0.02854744,0.012594459
208304.5,CASSELMAN,2009,RA7,277.55301,1,8.534646867345213,181.0,2.528881604667856,8.409108130542473,9.116007101540434,0,0.02854744,0.012594459
239100.34,CASSELMAN,1974,RF1,1122.834,1,8.709023705404968,145.9,2.872983536286846,8.61645784670464,9.233710643749037,0,0.02854744,0.012594459
126989.62,CASSELMAN,1977,RA7,220.13901,0,8.210971418503014,111.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
264359.88,CASSELMAN,1998,RF1,504.96701,1,8.942915358782349,177.1,3.016414914064363,8.836475644204585,9.489881234173176,0,0.02854744,0.012594459
122491.35,CASSELMAN,1981,RF5,242.588,0,8.421520348430228,106.0,2.481029572368201,8.309373454774283,8.98128054946462,0,0.02854744,0.012594459
225259.52,CASSELMAN,1974,RF1,611.0,1,8.627261217221733,146.8,2.761606209996226,8.529433523738785,9.161480695383034,0,0.02854744,0.012594459
130103.8,CASSELMAN,1977,RA7,207.55901,0,8.210971418503014,104.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
251903.11,CASSELMAN,1984,RF1,669.97498,1,8.400738508111647,170.79,2.610620631541108,8.312204721791867,8.920513759462477,0,0.02854744,0.012594459
113840.83,CASSELMAN,1974,RF5,240.909,0,8.279749366752082,101.0,2.342213010566654,8.167220503263747,8.841067088093283,0,0.02854744,0.012594459
254325.27,CASSELMAN,1975,RF1,568.85101,1,8.357511815771883,180.51,2.48258550455117,8.256126783049055,8.89953892640609,0,0.02854744,0.012594459
224567.47,CASSELMAN,1974,RF1,641.02698,1,8.67219507378706,148.04,2.805584024063178,8.574543034941817,9.205830968132306,0,0.02854744,0.012594459
104152.25,CASSELMAN,1976,RA7,199.905,0,8.184326841504152,92.0,2.258982404960971,8.073284582019545,8.743791289817164,0,0.02854744,0.012594459
133564.02,CASSELMAN,1981,RF5,242.662,0,8.345136795497288,111.0,2.321647807178623,8.214201680426054,8.936527988669617,1,0.02854744,0.012594459
125951.55,CASSELMAN,1976,RF5,245.77901,0,8.765675983160293,98.0,2.836019287053544,8.657643024368591,9.316383487401168,0,0.02854744,0.012594459
121107.27,CASSELMAN,1977,RA7,207.55901,0,8.210971418503014,104.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
120069.2,CASSELMAN,1977,RA7,220.13901,0,8.210971418503014,111.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
131487.89,CASSELMAN,1977,RA7,207.55901,0,8.210971418503014,104.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
118339.1,CASSELMAN,1977,RA7,220.13901,0,8.210971418503014,111.0,2.337138391478721,8.108538942061882,8.75576404188805,0,0.02854744,0.012594459
122491.35,CASSELMAN,1981,RF5,242.588,0,8.421520348430228,106.0,2.481029572368201,8.309373454774283,8.98128054946462,0,0.02854744,0.012594459
129411.77,CASSELMAN,1981,RF5,236.42999,0,8.414885528581879,106.0,2.401870588453497,8.28701235970077,9.000819999693073,0,0.02854744,0.012594459
285467.13,CASSELMAN,1986,RF1,654.14301,1,8.385531116650666,252.57,2.593325044577189,8.296564002504327,8.906155983714998,0,0.02854744,0.012594459
83044.984,CASSELMAN,1976,RA7,158.63,0,8.122637474189835,98.0,2.184187204355519,8.008842881891072,8.687119202873108,1,0.02854744,0.012594459
228027.69,CAVANAGH,2016,RMD,277.142,0,15.06411772145059,161.01,5.235371861058082,7.400341072965043,13.67956460675632,0,0.014051522,0.0023419203
223183.39,CAVANAGH,2018,RF4,264.19501,1,14.99206105481585,156.3,5.12781391407967,7.475778799275997,13.51714684090374,0,0.014051522,0.0023419203
245674.73,CAVANAGH,2017,RF4,394.60699,1,15.00978465296607,188.1,5.149883238898807,7.471827693206972,13.54582491285259,0,0.014051522,0.0023419203
245328.72,CAVANAGH,2016,RMD,307.84201,1,14.93827064690355,175.9,5.143036557076163,7.206504290795068,13.64479007023183,0,0.014051522,0.0023419203
